,index,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
817,29001,JF122849,12/10/2021 03:00:00 PM,062XX S KOSTNER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,813,23,11,,,,,
818,29010,JF160083,12/25/2021 12:00:00 PM,021XX W CONGRESS PKWY,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1225,27,07,,,,,
819,29016,JF159877,09/30/2021 07:00:00 AM,018XX S WABASH AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,N,N,131,3,11,,,,,
820,29026,JF122436,10/01/2021 12:01:00 AM,019XX W BIRCHWOOD AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,N,N,2424,49,02,,,,,
821,29101,JF159724,10/01/2021 12:00:00 AM,015XX N LA SALLE DR,1195,DECEPTIVE PRACTICE,FINANCIAL EXPLOITATION OF AN ELDERLY OR DISABLED PERSON,APARTMENT,N,N,1821,2,11,,,,,
822,29135,JE461009,11/27/2021 10:00:00 AM,047XX S JUSTINE ST,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,N,Y,933,20,07,,,,,
823,29165,JF122762,11/11/2021 11:52:00 AM,018XX W ERIE ST,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,1221,1,06,,,,,
824,29178,JF106826,09/30/2021 10:00:00 PM,014XX W CARMEN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,2033,47,11,,,,,
825,29291,JE186595,04/01/2021 07:08:00 PM,005XX N LAKE SHORE DR,0460,BATTERY,SIMPLE,STREET,N,N,1834,42,08B,,,,,
826,29306,JF141487,12/01/2021 09:00:00 AM,067XX S CRANDON AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,N,N,331,5,11,,,,,
827,29343,JF159691,12/01/2021 12:00:00 AM,075XX S STONY ISLAND AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,HOSPITAL BUILDING / GROUNDS,N,N,411,8,02,,,,,
828,29363,JF123054,11/09/2021 09:00:00 PM,046XX N BEACON ST,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,APARTMENT,N,Y,1913,46,26,,,,,
829,29405,JF106631,09/15/2021 12:00:00 PM,047XX S CHAMPLAIN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,223,4,11,,,,,
830,29434,JE191040,04/01/2021 11:30:00 PM,009XX W NORTH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,N,N,1822,27,14,,,,,
831,29438,JF106374,08/09/2021 12:01:00 AM,010XX N DEARBORN ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,1824,2,11,,,,,
832,29448,JF170557,03/11/2022 02:15:00 PM,011XX S CLARK ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,123,4,06,,,,,
833,29571,JE238591,05/22/2021 11:29:00 AM,013XX S SPRINGFIELD AVE,2018,NARCOTICS,MANUFACTURE / DELIVER - SYNTHETIC DRUGS,VEHICLE NON-COMMERCIAL,Y,N,1011,24,18,,,,,
834,29600,JE191242,04/01/2021 04:26:00 PM,087XX S DAUPHIN AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,632,8,06,,,,,
835,29655,JE186452,04/01/2021 04:41:00 PM,0000X W CONGRESS PKWY,0460,BATTERY,SIMPLE,GAS STATION,N,N,113,4,08B,,,,,
836,29747,JF155395,02/23/2022 08:35:00 PM,043XX S Wood st,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,924,15,11,,,,,
837,29753,JF122758,10/28/2021 06:00:00 PM,005XX E 75TH ST,0890,THEFT,FROM BUILDING,DAY CARE CENTER,N,N,323,6,06,,,,,
838,29757,JF152835,05/17/2021 10:00:00 AM,009XX S MAYFIELD AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,N,Y,1513,29,11,,,,,
839,29911,JE429630,11/01/2021 12:30:00 AM,014XX S MUSEUM CAMPUS DR,0460,BATTERY,SIMPLE,SPORTS ARENA / STADIUM,N,N,132,4,08B,,,,,
840,30016,JF159780,08/01/2021 12:00:00 AM,022XX N ELSTON AVE,1120,DECEPTIVE PRACTICE,FORGERY,COMMERCIAL / BUSINESS OFFICE,N,N,1432,32,10,,,,,
841,30023,JF160293,08/16/2021 12:00:00 AM,063XX S GREENWOOD AVE,0890,THEFT,FROM BUILDING,DAY CARE CENTER,N,N,314,20,06,,,,,
842,30036,JF159526,12/06/2021 08:00:00 AM,029XX W ROOSEVELT RD,0890,THEFT,FROM BUILDING,CONSTRUCTION SITE,N,N,1135,28,06,,,,,
843,30131,JF159937,12/02/2021 07:56:00 AM,004XX N MICHIGAN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,COMMERCIAL / BUSINESS OFFICE,N,N,1834,42,11,,,,,
844,30150,JF160095,05/24/2021 12:01:00 AM,084XX S MARSHFIELD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,614,21,11,,,,,
845,30199,JF141760,11/30/2021 12:18:00 PM,005XX N CICERO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1111,28,07,,,,,
846,30248,JF106605,12/29/2021 06:00:00 PM,056XX W GEORGE ST,0890,THEFT,FROM BUILDING,APARTMENT,N,N,2514,31,06,,,,,
847,30271,JF177665,08/20/2021 07:00:00 PM,023XX N HARDING AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2525,35,08B,,,,,
848,30287,JF173354,03/11/2022 04:00:00 PM,023XX W SUNNYSIDE AVE,0890,THEFT,FROM BUILDING,ATHLETIC CLUB,N,N,1911,47,06,,,,,
849,30291,JF172485,03/11/2022 12:25:00 PM,010XX W LAWRENCE AVE,0890,THEFT,FROM BUILDING,MEDICAL / DENTAL OFFICE,N,N,1914,46,06,,,,,
850,30316,JF178033,03/01/2022 12:00:00 PM,043XX N MARINE DR,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1915,46,11,,,,,
851,30366,JF160537,02/20/2022 10:15:00 AM,025XX N RIDGEWAY AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,2524,31,11,,,,,
852,30392,JF178109,03/11/2022 10:30:00 PM,036XX N WESTERN AVE,0890,THEFT,FROM BUILDING,RESTAURANT,N,N,1921,47,06,,,,,
853,30399,JF177066,08/01/2021 09:00:00 AM,008XX S OAKLEY BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,1225,28,11,,,,,
854,30426,JF141123,09/27/2021 02:00:00 AM,038XX W MAYPOLE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,1122,28,06,,,,,
855,30451,JE225909,05/04/2021 03:09:00 PM,033XX S WOOD ST,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,N,Y,912,12,17,,,,,
856,30473,JF141462,05/01/2021 07:00:00 AM,033XX S HAMILTON AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,N,Y,912,25,08B,,,,,
857,30482,JF136352,02/05/2022 05:30:00 PM,029XX S MICHIGAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,133,2,14,,,,,
858,30493,JF169816,03/10/2022 07:30:00 PM,008XX W 107TH ST,0460,BATTERY,SIMPLE,STREET,N,Y,2233,34,08B,,,,,
859,30498,JF159036,11/24/2021 09:00:00 AM,116XX S YALE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,Y,522,34,11,,,,,
860,30507,JF126973,11/06/2021 07:30:00 PM,053XX N ASHLAND AVE,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,STREET,Y,N,2012,40,04B,,,,,
861,30520,JE482975,12/14/2021 05:19:00 PM,001XX N LA SALLE ST,0870,THEFT,POCKET-PICKING,STREET,N,N,122,42,06,,,,,
862,30586,JF177157,09/21/2021 12:00:00 AM,007XX W 82ND ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,622,21,08A,,,,,
863,30594,JF170226,03/09/2022 12:00:00 PM,013XX W 78TH ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,N,N,612,17,08B,,,,,
864,30655,JE177356,03/23/2021 01:00:00 PM,040XX W VAN BUREN ST,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,Y,N,1132,28,18,,,,,
865,30667,JE483559,12/03/2021 02:30:00 PM,053XX N CUMBERLAND AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1614,41,06,,,,,
866,30706,JF173165,03/11/2022 05:39:00 PM,003XX N JEFFERSON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1214,42,11,,,,,
867,30724,JF156904,02/24/2022 03:00:00 PM,005XX W ADAMS ST,0890,THEFT,FROM BUILDING,SCHOOL - PRIVATE BUILDING,N,N,121,42,06,,,,,
868,30754,JE479285,12/14/2021 09:00:00 AM,016XX N MILWAUKEE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,COMMERCIAL / BUSINESS OFFICE,N,N,1434,2,14,,,,,
869,30772,JF176448,03/11/2022 06:45:00 AM,0000X W TERMINAL ST,0810,THEFT,OVER $500,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,N,N,1653,41,06,,,,,
870,30789,JF177962,02/28/2022 12:00:00 PM,055XX W EDDY ST,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,N,N,1633,36,11,,,,,
871,30806,JE187047,04/02/2021 10:40:00 AM,038XX W LAKE ST,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,Y,N,1122,28,18,,,,,
872,30833,JE486611,12/22/2021 07:30:00 PM,011XX N AVERS AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1112,37,06,,,,,
873,30840,JF141145,12/17/2021 10:31:00 AM,003XX W 94TH PL,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,634,21,26,,,,,
874,30876,JF174597,03/10/2022 07:00:00 AM,008XX S ADA ST,0810,THEFT,OVER $500,STREET,N,N,1231,28,06,,,,,
875,30914,JF161437,05/27/2021 12:00:00 AM,007XX W 103RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2232,34,08B,,,,,
876,30937,JF141406,10/19/2021 12:00:00 AM,068XX W 64TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,812,23,11,,,,,
877,30952,JE252926,06/03/2021 08:40:00 PM,001XX W CONGRESS PKWY,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,N,N,123,4,04B,,,,,
878,31070,JF119759,09/10/2021 12:00:00 AM,081XX S VINCENNES AVE,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,SCHOOL - PUBLIC BUILDING,N,N,622,21,17,,,,,
879,31366,JE448896,11/14/2021 12:43:00 PM,134XX S BALTIMORE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CREDIT UNION,N,N,433,10,11,,,,,
880,31392,JE222259,05/04/2021 09:15:00 AM,051XX N LOTUS AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,BANK,N,N,1623,45,11,,,,,
881,31415,JE291670,06/20/2021 03:00:00 PM,111XX S ASHLAND AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,2234,34,11,,,,,
882,31459,JF122907,12/28/2021 10:00:00 AM,070XX N RIDGE BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,2424,49,14,,,,,
883,31502,JF141585,09/08/2021 10:00:00 AM,057XX N ROGERS AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,N,N,1711,39,10,,,,,
884,31536,JF135451,02/05/2022 02:45:00 PM,004XX E SOUTH WATER ST,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,114,42,06,,,,,
885,31565,JE251176,06/02/2021 01:50:00 PM,003XX N AVERS AVE,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),RESIDENCE - YARD (FRONT / BACK),Y,N,1122,37,18,,,,,
886,31567,JF134777,02/05/2022 02:30:00 PM,044XX S WOLCOTT AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,924,15,06,,,,,
887,31607,JF176760,02/28/2022 06:00:00 PM,063XX S PULASKI RD,0820,THEFT,$500 AND UNDER,STREET,N,N,823,13,06,,,,,
888,31624,JF105967,12/24/2021 12:00:00 AM,023XX S LEAVITT ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,1034,25,11,,,,,
889,31653,JF176627,02/16/2022 12:00:00 PM,021XX W ERIE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1221,26,11,,,,,
890,31667,JF136201,02/06/2022 12:00:00 PM,068XX S RIDGELAND AVE,0810,THEFT,OVER $500,APARTMENT,N,N,332,5,06,,,,,
891,31688,JF177135,03/09/2022 11:30:00 AM,075XX S JEFFERY BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,414,8,14,,,,,
892,31693,JF160542,02/12/2022 12:00:00 PM,046XX N DRAKE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,1723,33,06,,,,,
893,31694,JF142685,12/05/2021 02:00:00 PM,070XX S PAULINA ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,735,17,07,,,,,
894,31700,JF177477,12/25/2021 12:00:00 AM,013XX S MILLARD AVE,0810,THEFT,OVER $500,APARTMENT,N,N,1011,24,06,,,,,
895,31719,JF174786,03/11/2022 04:15:00 PM,011XX S CLARK ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,123,4,06,,,,,
896,31746,JF177837,03/01/2022 12:00:00 AM,028XX N LOTUS AVE,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES,RESIDENCE,N,N,2514,31,17,,,,,
897,31752,JF176845,11/10/2021 12:00:00 AM,036XX W POLK ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1133,24,11,,,,,
898,31774,JE275745,06/21/2021 02:00:00 AM,018XX W WASHINGTON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,1223,27,14,,,,,
899,31781,JF178133,03/04/2022 04:00:00 AM,011XX W JACKSON BLVD,0810,THEFT,OVER $500,SMALL RETAIL STORE,N,N,1232,25,06,,,,,
900,31797,JF159720,11/30/2021 05:00:00 PM,031XX S KOSTNER AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,SCHOOL - PUBLIC BUILDING,N,N,1031,22,02,,,,,
901,31816,JF177143,03/27/2021 10:00:00 AM,038XX W COLUMBUS AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,834,18,11,,,,,
902,31825,JE357990,08/24/2021 04:00:00 PM,074XX S EBERHART AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,N,N,323,6,11,,,,,
903,31934,JF178035,02/02/2022 09:50:00 AM,016XX W 89TH ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,N,Y,2221,21,26,,,,,
904,31942,JF177745,03/04/2022 01:30:00 PM,014XX E 69TH PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,332,5,11,,,,,
905,31969,JF177094,09/20/2021 10:00:00 AM,047XX S PULASKI RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,AUTO / BOAT / RV DEALERSHIP,N,N,821,14,07,,,,,
906,32063,JF160951,12/07/2021 12:10:00 AM,062XX S ROCKWELL ST,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,N,N,825,16,06,,,,,
907,32103,JE372066,09/13/2021 12:25:02 PM,012XX W 58TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,N,N,713,16,15,,,,,
908,32131,JF135409,02/06/2022 02:37:00 AM,049XX N MARINE DR,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,N,2024,48,26,,,,,
909,32180,JE207524,03/24/2021 10:10:00 AM,120XX S eggleston ave,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,N,N,523,34,06,,,,,
910,32201,JF160033,11/09/2021 12:00:00 AM,049XX W CHICAGO AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,N,N,1531,37,11,,,,,
911,32253,JF175431,03/11/2022 07:43:00 AM,040XX N ASHLAND AVE,0890,THEFT,FROM BUILDING,SCHOOL - PUBLIC BUILDING,N,N,1912,47,06,,,,,
912,32266,JF145116,09/15/2021 06:32:00 PM,035XX W CORTLAND ST,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,APARTMENT,Y,N,1422,1,17,,,,,
913,32268,JF142064,09/09/2021 06:00:00 AM,033XX W FILLMORE ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,POLICE FACILITY / VEHICLE PARKING LOT,N,N,1134,24,26,,,,,
914,32304,JF161154,10/07/2021 12:00:00 PM,003XX E WACKER DR,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,114,42,11,,,,,
915,32326,JF160577,11/01/2021 12:00:00 PM,016XX N CAMPBELL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1434,1,11,,,,,
916,32397,JF156429,02/24/2022 09:30:00 PM,015XX W JONQUIL TER,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,2422,49,14,,,,,
917,32429,JF122891,12/03/2021 02:30:00 PM,035XX W 76TH PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,835,18,11,,,,,
918,32459,JF174781,03/12/2022 03:30:00 PM,019XX N CAMPBELL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - GARAGE,N,N,1434,1,14,,,,,
919,32558,JE225549,03/25/2021 09:45:00 AM,033XX N Hoyne Ave,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1921,32,11,,,,,
920,32647,JF158325,02/24/2022 08:00:00 PM,015XX W GEORGE ST,0810,THEFT,OVER $500,STREET,N,N,1932,32,06,,,,,
921,32673,JF106844,12/25/2021 04:00:00 PM,061XX N KILBOURN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1711,39,14,,,,,
922,32740,JE484459,12/13/2021 10:25:00 AM,066XX N CALIFORNIA AVE,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,N,N,2412,50,06,,,,,
923,32751,JE224374,05/04/2021 03:23:00 PM,014XX W RASCHER AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,2013,48,06,,,,,
924,32837,JF178357,03/10/2022 12:00:00 PM,014XX W MORSE AVE,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,COMMERCIAL / BUSINESS OFFICE,N,N,2431,49,10,,,,,
925,32868,JE234029,05/18/2021 11:42:00 AM,007XX N LAWNDALE AVE,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,Y,N,1112,27,18,,,,,
926,32914,JF160770,07/01/2021 12:00:00 PM,016XX W PERSHING RD,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,912,12,08A,,,,,
927,32944,JE185099,03/31/2021 09:45:00 AM,039XX W JACKSON BLVD,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,Y,N,1132,28,18,,,,,
928,32946,JE185152,03/31/2021 10:36:00 AM,056XX S ADA ST,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,Y,N,713,16,18,,,,,
929,32965,JE171367,03/16/2021 09:00:00 AM,014XX S MUSEUM CAMPUS DR,2851,PUBLIC PEACE VIOLATION,ARSON THREAT,SPORTS ARENA / STADIUM,N,N,132,4,24,,,,,
930,32980,JF161656,12/02/2021 08:00:00 PM,071XX S DORCHESTER AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,324,8,06,,,,,
931,33005,JF155446,02/24/2022 12:14:00 PM,011XX N CLARK ST,0860,THEFT,RETAIL THEFT,DRUG STORE,N,N,1824,2,06,,,,,
932,33018,JF160535,12/01/2021 09:00:00 AM,087XX S COTTAGE GROVE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,632,8,11,,,,,
933,33028,JE258123,06/08/2021 10:30:00 AM,003XX S SPRINGFIELD AVE,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,Y,N,1132,28,18,,,,,
934,33029,JF179180,03/04/2022 08:00:00 AM,022XX W 79TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,835,18,14,,,,,
935,33036,JF160774,11/25/2021 09:00:00 AM,081XX S KINGSTON AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,422,7,11,,,,,
936,33066,JF159966,10/28/2021 12:00:00 AM,015XX E 70TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,332,5,11,,,,,
937,33081,JE289565,07/04/2021 10:22:00 AM,062XX S DR MARTIN LUTHER KING JR DR,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,Y,N,311,20,18,,,,,
938,33083,JE241214,05/24/2021 03:30:00 PM,021XX W JACKSON BLVD,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),VEHICLE NON-COMMERCIAL,Y,N,1225,27,18,,,,,
939,33100,JF161213,10/29/2021 03:00:00 AM,059XX W THORNDALE AVE,0810,THEFT,OVER $500,STREET,N,N,1622,45,06,,,,,
940,33145,JF160703,02/22/2022 03:38:00 PM,055XX N SAWYER AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1712,39,06,,,,,
941,33151,JF157886,02/24/2022 12:43:00 PM,026XX N CLARK ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1935,43,06,,,,,
942,33183,JF179078,02/18/2022 11:30:00 AM,012XX W VAN BUREN ST,0810,THEFT,OVER $500,APARTMENT,N,Y,1231,28,06,,,,,
943,33185,JF142108,06/17/2021 12:00:00 AM,079XX S ESSEX AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,N,N,422,7,11,,,,,
944,33210,JF178184,02/06/2022 11:00:00 AM,023XX W 21ST ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1234,25,11,,,,,
945,33220,JE243366,05/03/2021 02:48:00 PM,006XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1834,42,06,,,,,
946,33230,JF178682,03/04/2022 05:00:00 PM,0000X E 105TH ST,0560,ASSAULT,SIMPLE,STREET,N,Y,512,9,08A,,,,,
947,33260,JF123198,12/26/2021 11:30:00 AM,010XX N DRAKE AVE,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1121,27,06,,,,,
948,33278,JF178249,04/01/2021 12:00:00 AM,078XX S SANGAMON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,621,17,11,,,,,
949,33307,JF177961,03/04/2022 08:00:00 AM,063XX S GREENWOOD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,314,20,11,,,,,
950,33356,JF178329,02/25/2022 02:35:00 PM,033XX W HIRSCH ST,0820,THEFT,$500 AND UNDER,SCHOOL - PUBLIC BUILDING,N,N,1422,26,06,,,,,
951,33460,JF178519,06/06/2021 07:30:00 PM,080XX S STEWART AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,N,N,623,17,02,,,,,
952,33523,JF122632,12/14/2021 02:00:00 PM,035XX S RHODES AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,N,N,212,4,11,,,,,
953,33538,JF122405,01/13/2022 10:00:00 PM,013XX W FARGO AVE,0810,THEFT,OVER $500,ALLEY,N,N,2422,49,06,,,,,
954,33561,JF122514,12/24/2021 04:30:00 PM,061XX S ASHLAND AVE,0460,BATTERY,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,713,16,08B,,,,,
955,33593,JF142153,11/01/2021 12:00:00 AM,082XX S INGLESIDE AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,N,N,631,8,26,,,,,
956,33598,JF142381,09/08/2021 12:00:00 AM,0000X W CERMAK RD,2820,OTHER OFFENSE,TELEPHONE THREAT,STREET,N,N,131,3,08A,,,,,
957,33601,JF122872,08/04/2021 01:30:00 PM,046XX S ASHLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,N,N,924,15,14,,,,,
958,33683,JF142128,12/22/2021 12:00:00 AM,048XX S WESTERN BLVD,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),N,N,931,15,11,,,,,
959,33696,JE244479,05/27/2021 09:29:00 AM,004XX N LAWNDALE AVE,2024,NARCOTICS,POSSESS - HEROIN (WHITE),RESIDENCE - YARD (FRONT / BACK),Y,N,1122,27,18,,,,,
960,33713,JF178451,03/10/2022 04:00:00 PM,054XX W WEST END AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,1523,28,11,,,,,
961,33786,JF178736,02/06/2022 09:56:00 AM,011XX W 50TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,N,933,20,26,,,,,
962,33801,JF177905,03/08/2022 04:44:00 PM,0000X N STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,112,42,06,,,,,
