ind1, ind2,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
634,23285,JF152283,02/22/2022 05:00:00 AM,048XX N LAVERGNE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1623,45,11,,,41.889445111111115,-87.75039466666666,
635,23365,JF140187,09/18/2021 10:00:00 AM,028XX W 25TH ST,0810,THEFT,OVER $500,RESIDENCE,N,N,1033,12,06,,,41.84648602543495,-87.63413337115892,
636,23370,JF153409,02/21/2022 03:00:00 PM,069XX N HAMILTON AVE,0810,THEFT,OVER $500,STREET,N,N,2411,50,06,,,,,
637,23395,JF140207,11/16/2021 09:00:00 AM,053XX W JACKSON BLVD,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,N,N,1522,29,11,,,41.87670024379648,-87.75806889550235,
638,23397,JF140611,12/21/2021 08:00:00 PM,049XX N HARDING AVE,0810,THEFT,OVER $500,RESIDENCE,N,N,1712,39,06,,,,,
639,23449,JE170274,03/15/2021 07:40:00 PM,055XX N CLARK ST,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,2013,48,06,,,,,
640,23521,JF122290,12/16/2021 12:00:00 PM,018XX W GARFIELD BLVD,0560,ASSAULT,SIMPLE,SCHOOL - PUBLIC BUILDING,N,N,932,16,08A,,,41.7936595,-87.6646633,
641,23528,JF153172,02/21/2022 03:00:00 AM,054XX N CLARK ST,0890,THEFT,FROM BUILDING,RESIDENCE - GARAGE,N,N,2012,40,06,,,41.9890975,-87.6698151,
642,23542,JF152414,02/21/2022 02:00:00 PM,018XX W OAKDALE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,1931,32,14,,,41.9355966,-87.6481426,
643,23578,JF154414,02/21/2022 04:20:00 PM,026XX N CLARK ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1935,43,06,,,41.88606057142857,-87.63109357142858,
644,23616,JF151403,02/21/2022 09:00:00 AM,012XX S INDIANA AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - GARAGE,N,N,132,3,06,,,41.86710447708312,-87.62232022528424,
645,23634,JE447599,11/16/2021 07:12:00 PM,002XX S RACINE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1231,28,06,,,41.881343799999996,-87.6572424,
646,23672,JF174859,02/25/2022 11:44:00 AM,0000X W BURTON PL,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,1824,2,06,,,,,
647,23677,JF169355,03/09/2022 01:25:00 PM,052XX S HYDE PARK BLVD,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,N,N,234,5,06,,,,,
648,23696,JF103060,12/30/2021 03:00:00 AM,0000X E CONGRESS PKWY,0460,BATTERY,SIMPLE,SIDEWALK,N,N,113,4,08B,,,41.875563,-87.627447,
649,23727,JF169324,03/09/2022 04:15:00 PM,047XX N HAMLIN AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,1723,35,06,,,41.9047543,-87.7211675,
650,23781,JF168979,03/09/2022 09:30:00 PM,027XX W Ainslie St,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,2031,40,06,,,41.9696874,-87.7584674,
651,23809,JF158455,11/04/2021 06:00:00 PM,022XX E 84TH ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,N,412,7,26,,,41.742509,-87.570186,
652,23906,JF101447,01/02/2022 04:20:00 PM,014XX S MUSEUM CAMPUS DR,0460,BATTERY,SIMPLE,SPORTS ARENA / STADIUM,Y,N,132,4,08B,,,41.8662155,-87.6137248,
653,23921,JE190147,04/05/2021 11:55:00 AM,039XX W THOMAS ST,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,SIDEWALK,Y,N,1112,37,18,,,41.901415,-87.6741505,
654,23993,JF140458,12/23/2021 12:00:00 AM,053XX N SHERIDAN RD,0890,THEFT,FROM BUILDING,APARTMENT,N,N,2023,48,06,,,41.95355,-87.6545196,
655,24073,JF171689,03/10/2022 05:01:00 PM,011XX S CANAL ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,124,25,06,,,41.868279207904,-87.63911499517121,
656,24116,JF158753,10/15/2021 12:00:00 PM,064XX S YALE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,722,20,11,,,41.710774,-87.6296144,
657,24183,JF106983,10/31/2021 12:00:00 AM,008XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,DEPARTMENT STORE,N,N,1833,2,06,,,41.884186240671305,-87.62423515084731,
658,24227,JF176324,12/19/2021 02:40:00 PM,062XX N HOYNE AVE,0810,THEFT,OVER $500,RESIDENCE,N,N,2413,50,06,,,,,
659,24278,JF170531,03/10/2022 06:10:00 PM,042XX N ASHLAND AVE,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,N,N,1912,47,06,,,41.88917157848359,-87.66697801928278,
660,24306,JF175899,11/30/2021 12:00:00 AM,063XX S ARTESIAN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,825,16,11,,,41.8241419,-87.6856964,
661,24343,JF176122,12/01/2021 12:00:00 AM,002XX E 87TH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,632,6,11,,,41.7378759,-87.54438489017672,
662,24354,JF175444,03/10/2022 06:20:00 PM,076XX N GREENVIEW AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,2422,49,06,,,41.8984054,-87.6649063,
663,24389,JE185170,03/31/2021 11:09:00 AM,035XX W FLOURNOY ST,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,Y,N,1133,24,18,,,,,
664,24413,JE188048,04/03/2021 09:45:00 AM,050XX W IOWA ST,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,Y,N,1531,37,18,,,,,
665,24416,JE318354,07/29/2021 10:09:00 AM,034XX W LAKE ST,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),PARK PROPERTY,Y,N,1123,28,18,,,41.88458340916915,-87.71162213610492,
666,24439,JF156786,02/22/2022 03:14:00 PM,020XX N ORLEANS ST,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1814,43,06,,,41.888332,-87.6366777,
667,24442,JE230793,05/15/2021 09:52:00 AM,056XX S EMERALD AVE,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),RESIDENCE - YARD (FRONT / BACK),Y,N,711,20,18,,,41.6687273,-87.6404042,
668,24461,JF158932,12/22/2021 09:00:00 AM,001XX E PEARSON ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,N,N,1833,42,11,,,41.897688,-87.6271039,
669,24462,JF158518,10/18/2021 12:00:00 AM,012XX N DEARBORN ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,1824,2,11,,,41.90428141606504,-87.6298864100338,
670,24475,JE311207,07/23/2021 11:06:00 AM,078XX S INGLESIDE AVE,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,Y,N,624,8,18,,,,,
671,24488,JF140301,11/16/2021 12:00:00 PM,004XX S CLARK ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,PAWN SHOP,N,N,122,4,11,,,41.88141260540963,-87.63075624969628,
672,24510,JE187975,04/03/2021 08:52:00 AM,039XX W THOMAS ST,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),VEHICLE NON-COMMERCIAL,Y,N,1112,37,18,,,41.901415,-87.6741505,
673,24536,JF154358,02/22/2022 03:00:00 PM,080XX S Essex ave,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,422,7,26,,,41.737222,-87.5636198,
674,24569,JF158952,12/20/2021 12:00:00 AM,038XX N PINE GROVE AVE,1120,DECEPTIVE PRACTICE,FORGERY,APARTMENT,N,N,1925,46,10,,,41.95188800589807,-87.64776707663985,
675,24580,JF158838,10/25/2021 12:00:00 AM,100XX S WENTWORTH AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,511,9,11,,,41.71218584055561,-87.62855063604856,
676,24602,JF158594,07/12/2021 08:00:00 AM,013XX W LOYOLA AVE,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,N,N,2432,49,06,,,42.0014675235806,-87.6638916217368,
677,24620,JE287021,07/02/2021 10:03:00 AM,057XX S MICHIGAN AVE,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),VEHICLE NON-COMMERCIAL,Y,N,232,20,18,,,,,
678,24621,JF155326,02/22/2022 06:00:00 PM,012XX W 18TH ST,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1233,25,06,,,41.85785685714179,-87.65728157150349,
679,24632,JF153176,02/22/2022 01:35:00 AM,020XX N ALBANY AVE,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,N,N,1414,32,06,,,41.917997,-87.705117,
680,24635,JF153433,02/22/2022 10:00:00 AM,016XX W Van Buren St,0890,THEFT,FROM BUILDING,GAS STATION,N,N,1231,27,06,,,41.8767957,-87.6379972,
681,24701,JE436427,11/06/2021 06:00:00 PM,006XX N LA SALLE DR,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1832,42,07,,,,,
682,24713,JF158710,09/20/2021 09:00:00 AM,051XX W WILSON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1623,45,11,,,41.9658921,-87.6455645,
683,24714,JF158799,12/26/2021 12:00:00 PM,017XX E 93RD ST,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,N,N,413,8,11,,,41.72537684454206,-87.61945762442345,
684,24721,JE286124,07/01/2021 01:38:00 PM,117XX S UNION AVE,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,APARTMENT,Y,N,524,34,18,,,41.680606442330294,-87.64015018903532,
685,24725,JE306643,07/19/2021 11:57:00 AM,001XX N CENTRAL PARK DR,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),PARK PROPERTY,Y,N,1123,28,18,,,41.8809553,-87.7159028,
686,24731,JF156844,02/22/2022 10:00:00 AM,0000X E Banks St,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1824,43,11,,,41.9067846,-87.6274185,
687,24743,JF155683,08/01/2021 12:00:00 AM,103XX S WALDEN PKWY,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,N,Y,2212,19,02,,,41.706179006786485,-87.66906099878106,
688,24749,JF176084,12/15/2021 12:00:00 AM,021XX S INDIANA AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,N,132,3,26,,,41.854064194450714,-87.62205339051536,
689,24792,JF158491,11/01/2021 12:00:00 PM,012XX N DEARBORN ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,N,N,1824,2,11,,,41.884727571803516,-87.62957610415968,
690,24828,JF158913,07/01/2021 12:00:00 PM,070XX W NEWPORT AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1632,38,11,,,,,
691,24839,JF159108,10/04/2021 05:00:00 PM,023XX N COMMONWEALTH AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1814,43,06,,,41.92401918814036,-87.63817001370654,
692,24845,JF134719,02/04/2022 08:45:00 PM,001XX W ADAMS ST,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,122,42,06,,,41.879513737266066,-87.62966198552954,
693,24849,JF123447,12/15/2021 09:00:00 AM,069XX W BELMONT AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,2511,36,06,,,41.939934,-87.646669,
694,24854,JF107062,12/20/2021 12:00:00 PM,026XX N LOCKWOOD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2514,31,07,,,41.927905638216906,-87.75863715993852,
695,24857,JE287120,07/02/2021 11:01:00 AM,016XX S KOMENSKY AVE,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),VEHICLE NON-COMMERCIAL,Y,N,1012,24,18,,,41.85820606810977,-87.72605109082778,
696,24871,JE190207,04/05/2021 01:35:00 PM,040XX W ADAMS ST,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,Y,N,1115,28,18,,,41.879244,-87.638625,
697,24915,JF158604,12/28/2021 12:00:00 AM,016XX W LAKE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,N,N,1215,27,03,,,41.8873602,-87.7603473,
698,25033,JE186055,03/31/2021 12:05:00 PM,008XX N HOYNE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,1212,2,08A,,,41.882906906213215,-87.67901358491767,
699,25047,JF141775,12/09/2021 12:00:00 AM,049XX W LEXINGTON ST,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,N,N,1533,29,10,,,,,
700,25049,JE191099,03/22/2021 09:50:00 AM,040XX E 134TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,N,N,433,10,14,,,41.651868178003056,-87.52838751286257,
701,25138,JE287124,07/02/2021 10:41:00 AM,080XX S MARSHFIELD AVE,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,RESIDENCE - YARD (FRONT / BACK),Y,N,611,21,18,,,,,
702,25144,JF158845,11/01/2021 12:00:00 PM,080XX S ESCANABA AVE,0810,THEFT,OVER $500,RESIDENCE - GARAGE,N,N,422,7,06,,,,,
703,25145,JF140204,12/21/2021 04:00:00 PM,036XX W SHAKESPEARE AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,2525,35,06,,,41.9200275,-87.7174625,
704,25204,JF159456,10/01/2021 12:00:00 AM,096XX S LA SALLE ST,2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,RESIDENCE,N,N,511,21,17,,,41.816639,-87.6294438,
705,25226,JE186117,03/31/2021 08:22:00 PM,011XX N LAKE SHORE DR,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE - GARAGE,N,N,1824,2,14,,,41.9000948,-87.6192608,
706,25292,JF136430,02/04/2022 10:30:00 PM,004XX N Clark St,0880,THEFT,PURSE-SNATCHING,BAR OR TAVERN,N,N,1831,42,06,,,41.88280072388615,-87.63079019078373,
707,25326,JE306566,07/02/2021 11:16:00 AM,019XX S Archer Ave,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,131,3,06,,,41.8377402,-87.66568,
708,25355,JE171873,03/15/2021 05:10:00 PM,028XX N WOLCOTT AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,1931,32,06,,,41.88577533754691,-87.67442595737299,
709,25448,JE315787,07/27/2021 09:45:00 AM,084XX S MARSHFIELD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,614,21,11,,,41.87105434033478,-87.66790670976859,
710,25484,JF139851,12/15/2021 03:00:00 PM,003XX W 35TH ST,0810,THEFT,OVER $500,SPORTS ARENA / STADIUM,N,N,915,11,06,,,41.83006135,-87.68162987078227,
711,25550,JF106638,12/27/2021 09:20:00 AM,092XX S LAFLIN ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER (SPECIFY),N,N,2222,21,11,,,41.86992422915486,-87.66398310163012,
712,25557,JF140420,12/06/2021 12:00:00 AM,063XX S RACINE AVE,0810,THEFT,OVER $500,RESIDENCE,N,N,724,16,06,,,41.87360202834897,-87.6570201438696,
713,25574,JF106554,12/26/2021 12:00:00 AM,113XX S WALLACE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2233,34,11,,,41.68849601065241,-87.63730766702174,
714,25577,JF139993,12/31/2021 09:00:00 AM,023XX S WESTERN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,STREET,N,N,1034,25,11,,,41.878221559119595,-87.68646640521045,
715,25588,JF139900,12/01/2021 12:00:00 AM,070XX W 63RD PL,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,N,N,812,23,11,,,41.7765193,-87.7984068,
716,25618,JF133996,02/04/2022 04:13:00 AM,048XX W HENDERSON ST,0810,THEFT,OVER $500,STREET,N,N,1634,31,06,,,41.9411332,-87.7811822,
717,25721,JF122578,11/15/2021 12:00:00 PM,109XX S HAMLIN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2211,19,11,,,41.8061063,-87.7186314,
718,25727,JF106926,12/21/2021 10:00:00 AM,067XX S MORGAN ST,0810,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),N,N,723,6,06,,,41.8680553,-87.6511287,
719,25756,JF122754,04/17/2021 12:00:00 AM,107XX S NORMAL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2233,34,11,,,41.7375556,-87.6364811,
720,25760,JF139809,10/06/2021 12:00:00 AM,003XX S WACKER DR,1120,DECEPTIVE PRACTICE,FORGERY,COMMERCIAL / BUSINESS OFFICE,N,N,122,42,10,,,41.8753503,-87.6357587,
721,25774,JF140567,12/12/2021 05:30:00 PM,007XX N SACRAMENTO BLVD,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,OTHER (SPECIFY),N,N,1221,27,11,,,41.88964985,-87.7008938485065,
722,25792,JF133609,02/04/2022 06:17:00 AM,046XX N clarendon ave,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1914,46,26,,,,,
723,25796,JF106619,12/12/2021 09:00:00 AM,005XX N MC CLURG CT,0810,THEFT,OVER $500,APARTMENT,N,N,1834,42,06,,,,,
724,25828,JF140372,12/30/2021 09:00:00 AM,054XX W WARWICK AVE,0810,THEFT,OVER $500,STREET,N,N,1633,36,06,,,,,
725,25841,JF106584,03/13/2021 02:30:00 PM,062XX W FLETCHER ST,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,RESIDENCE,N,Y,2511,36,26,,,41.8967959,-87.647588,
726,25856,JF140057,04/18/2021 12:00:00 AM,013XX S KEDVALE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1011,24,11,,,41.863974263628606,-87.72888542498099,
727,25906,JF122640,12/01/2021 02:46:00 PM,049XX S CICERO AVE,0820,THEFT,$500 AND UNDER,COMMERCIAL / BUSINESS OFFICE,N,N,814,22,06,,,41.874229530761276,-87.74492846657797,
728,25948,JF176835,08/01/2021 09:00:00 AM,062XX S SACRAMENTO AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,N,823,16,26,,,41.8455215,-87.7001566,
729,26044,JF140496,11/29/2021 10:48:00 AM,051XX S WHIPPLE ST,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,N,N,923,14,11,,,,,
730,26164,JE313459,07/25/2021 10:24:00 AM,043XX W GLADYS AVE,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,Y,N,1131,28,18,,,41.8767342,-87.693741,
731,26199,JE301086,07/13/2021 08:00:00 PM,008XX N HERMITAGE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),N,N,1213,1,06,,,41.883032555858414,-87.670462,
732,26218,JE259313,05/09/2021 07:30:00 AM,052XX N Sheridan RD,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,2023,48,06,,,42.01419765,-87.66474800509576,
733,26227,JE318631,07/29/2021 02:26:00 PM,024XX W CHICAGO AVE,2018,NARCOTICS,MANUFACTURE / DELIVER - SYNTHETIC DRUGS,VEHICLE NON-COMMERCIAL,Y,N,1221,26,18,,,41.89650314285714,-87.63506028571429,
734,26285,JF159414,10/20/2021 06:00:00 PM,003XX N STATE ST,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,N,N,1831,42,04B,,,41.8966529,-87.6281533,
735,26316,JF141141,09/01/2021 12:00:00 AM,081XX S VINCENNES AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,SCHOOL - PUBLIC BUILDING,N,N,622,21,17,,,41.8288101,-87.6112717,
736,26328,JF170259,03/10/2022 07:05:00 PM,0000X W TERMINAL ST,0820,THEFT,$500 AND UNDER,AIRCRAFT,N,N,1651,41,06,,,,,
737,26400,JF140082,11/29/2021 07:55:00 AM,068XX S DANTE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),N,N,332,5,11,,,41.7696573,-87.5895296,
738,26447,JF159061,11/01/2021 12:00:00 AM,055XX N KENMORE AVE,0810,THEFT,OVER $500,APARTMENT,N,N,2023,48,06,,,41.9177114,-87.6543789,
739,26469,JF153180,02/22/2022 09:05:00 AM,057XX S cicero ave,0810,THEFT,OVER $500,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,N,N,813,23,06,,,41.8181534,-87.7435358,
740,26491,JF156425,02/22/2022 06:00:00 PM,021XX W MOFFAT ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1434,32,14,,,41.9152247,-87.6849367,
741,26492,JE192349,04/01/2021 03:27:00 PM,071XX S EUCLID AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,333,5,06,,,,,
742,26506,JE205512,04/16/2021 02:35:00 AM,067XX N NEWGARD AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),N,N,2432,49,06,,,,,
743,26533,JF152766,02/22/2022 11:15:00 AM,005XX W Grand Ave,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,1214,27,06,,,41.891560178090714,-87.6299210262977,
744,26568,JF139796,09/23/2021 11:00:00 PM,017XX N LECLAIRE AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,N,N,2533,37,02,,,41.88386662522503,-87.75285674578055,
745,26614,JF140087,09/12/2021 03:00:00 PM,070XX N KEDZIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2411,50,08B,,,41.888820499999994,-87.70664922562696,
746,26631,JE317276,07/28/2021 12:53:00 PM,034XX W LAKE ST,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),PARK PROPERTY,Y,N,1123,28,18,,,41.88565182243486,-87.63601457140898,
747,26666,JF140193,02/03/2022 01:30:00 PM,056XX N SHERIDAN RD,0810,THEFT,OVER $500,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,N,N,2022,48,06,,,41.95355,-87.6545196,
748,26678,JF140052,12/22/2021 10:16:00 AM,015XX W 33RD ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,SMALL RETAIL STORE,N,N,912,12,11,,,41.834541488372096,-87.62979588372093,
749,26715,JF140119,01/01/2022 03:54:00 AM,0000X W HURON ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),N,N,1832,42,11,,,41.8950427,-87.63155432528086,
750,26748,JF122624,12/25/2021 11:00:00 AM,008XX N STATE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,STREET,N,N,1833,2,03,,,41.883036591529645,-87.62775439001436,
751,26778,JF140186,01/25/2022 09:00:00 AM,021XX N HUDSON AVE,0810,THEFT,OVER $500,STREET,N,N,1812,43,06,,,41.8965173,-87.6399735,
752,26825,JF158597,10/22/2021 12:00:00 AM,059XX N CICERO AVE,1120,DECEPTIVE PRACTICE,FORGERY,COMMERCIAL / BUSINESS OFFICE,N,N,1711,39,10,,,41.89124562651095,-87.74556420481953,
753,26866,JF140355,12/16/2021 10:00:00 AM,022XX S KEDZIE AVE,0810,THEFT,OVER $500,SCHOOL - PUBLIC BUILDING,N,N,1033,12,06,,,41.87810966308454,-87.70614825784642,
754,26870,JF140072,10/01/2021 12:00:00 AM,083XX S DANTE AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,N,N,412,8,11,,,,,
755,26898,JF155324,02/23/2022 06:10:00 PM,041XX W CULLOM AVE,0890,THEFT,FROM BUILDING,OTHER (SPECIFY),N,N,1722,39,06,,,41.9594918,-87.6892438,
756,26918,JF172469,03/10/2022 02:33:00 PM,019XX N HUMBOLDT BLVD,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1421,1,06,,,41.9174498,-87.702101,
757,26943,JF176386,11/01/2021 12:00:00 AM,007XX N ABERDEEN ST,0810,THEFT,OVER $500,APARTMENT,N,N,1214,27,06,,,,,
758,26963,JF174270,03/10/2022 09:20:00 PM,027XX W GUNNISON ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,ALLEY,N,N,2031,40,14,,,41.9695566773561,-87.69720010208766,
759,27190,JE306559,05/06/2021 04:16:00 PM,075XX N CLARK ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2422,49,06,,,41.8848986,-87.63047390358456,
760,27485,JF171685,03/10/2022 12:01:00 PM,011XX S CANAL ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,124,25,06,,,41.88035659640996,-87.63952688404858,
761,27524,JE483102,12/19/2021 08:20:00 PM,0000X W 87TH ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,N,N,634,21,06,,,41.7353464,-87.696146,
762,27551,JF171602,03/10/2022 07:03:00 PM,003XX N DEARBORN ST,0890,THEFT,FROM BUILDING,OTHER (SPECIFY),N,N,1831,42,06,,,41.888195550000006,-87.63002930266452,
763,27601,JF175433,03/08/2022 03:44:00 PM,001XX N STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,111,42,06,,,41.88233457276723,-87.62795346431918,
764,27624,JF175484,12/08/2021 12:00:00 PM,043XX S HONORE ST,1120,DECEPTIVE PRACTICE,FORGERY,APARTMENT,N,N,924,15,10,,,41.815374210265865,-87.6713308019357,
765,27628,JE301126,07/13/2021 10:36:00 AM,0000X N LA SALLE ST,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,N,N,122,42,06,,,,,
766,27631,JF175873,03/10/2022 02:00:00 AM,068XX S EVANS AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,321,20,06,,,41.8249532,-87.608631,
767,27632,JF175747,04/13/2021 12:00:00 AM,110XX S WALLACE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2233,34,11,,,41.5243092,-87.6309195,
768,27643,JF175972,11/25/2021 08:00:00 PM,100XX S MORGAN ST,0820,THEFT,$500 AND UNDER,STREET,N,N,2232,34,06,,,41.712007893496185,-87.64771939689363,
